Retailer,"Retailer ID",invoice_date,Region,State,City,Product,category,price_per_unit,units_sold,total_sales,operating_profit,operating_margin,sales_method
Walmart,1185732,2020-05-04,Northeast,"New York","New York","Men's ","Athletic Footwear",55.00,1000,550000.00,165000.00,0.30,Outlet
Walmart,1185732,2020-05-05,Northeast,"New York","New York","Women's ","Street Footwear",55.00,950,522500.00,182875.00,0.35,Outlet
Walmart,1185732,2020-05-06,Northeast,"New York","New York","Women's ","Athletic Footwear",55.00,900,495000.00,173250.00,0.35,Outlet
Walmart,1185732,2020-05-07,Northeast,"New York","New York","Men's ",Apparel,65.00,900,585000.00,175500.00,0.30,Outlet
Walmart,1185732,2020-07-18,Northeast,"New York","New York","Women's ",Apparel,70.00,1000,700000.00,175000.00,0.25,Outlet
"Sports Direct",1197831,2020-07-19,Northeast,"New York","New York","Men's ","Street Footwear",25.00,900,225000.00,78750.00,0.35,Outlet
"Sports Direct",1197831,2020-07-20,Northeast,"New York","New York","Men's ","Athletic Footwear",35.00,900,315000.00,110250.00,0.35,Outlet
"Sports Direct",1197831,2020-07-21,Northeast,"New York","New York","Women's ","Street Footwear",35.00,700,245000.00,85750.00,0.35,Outlet
"Sports Direct",1197831,2020-07-22,Northeast,"New York","New York","Women's ","Athletic Footwear",35.00,700,245000.00,110250.00,0.45,Outlet
"Sports Direct",1197831,2020-07-23,South,Texas,Houston,"Men's ",Apparel,40.00,550,220000.00,66000.00,0.30,Outlet
"Sports Direct",1197831,2020-07-24,South,Texas,Houston,"Women's ",Apparel,35.00,700,245000.00,122500.00,0.50,Outlet
"Sports Direct",1197831,2020-07-25,South,Texas,Houston,"Men's ","Street Footwear",25.00,850,212500.00,74375.00,0.35,Outlet
"Sports Direct",1197831,2020-07-26,South,Texas,Houston,"Men's ","Athletic Footwear",35.00,850,297500.00,104125.00,0.35,Outlet
"Sports Direct",1197831,2020-07-27,South,Texas,Houston,"Women's ","Street Footwear",35.00,675,236250.00,82687.50,0.35,Outlet
"Sports Direct",1197831,2020-07-28,South,Texas,Houston,"Women's ","Athletic Footwear",35.00,625,218750.00,98437.50,0.45,Outlet
"Sports Direct",1197831,2020-07-29,South,Texas,Houston,"Men's ",Apparel,40.00,500,200000.00,60000.00,0.30,Outlet
"Sports Direct",1197831,2020-07-30,South,Texas,Houston,"Women's ",Apparel,35.00,700,245000.00,122500.00,0.50,Outlet
"Sports Direct",1197831,2020-07-31,South,Texas,Houston,"Men's ","Street Footwear",30.00,875,262500.00,91875.00,0.35,Outlet
"Sports Direct",1197831,2020-08-01,South,Texas,Houston,"Men's ","Athletic Footwear",40.00,875,350000.00,122500.00,0.35,Outlet
"Sports Direct",1197831,2020-08-02,South,Texas,Houston,"Women's ","Street Footwear",35.00,700,245000.00,85750.00,0.35,Outlet
"Sports Direct",1197831,2020-08-03,South,Texas,Houston,"Women's ","Athletic Footwear",40.00,600,240000.00,108000.00,0.45,Outlet
"Sports Direct",1197831,2020-08-04,South,Texas,Houston,"Men's ",Apparel,45.00,500,225000.00,67500.00,0.30,Outlet
"Sports Direct",1197831,2020-08-05,South,Texas,Houston,"Women's ",Apparel,40.00,650,260000.00,130000.00,0.50,Outlet
"Sports Direct",1197831,2020-08-06,South,Texas,Houston,"Men's ","Street Footwear",30.00,900,270000.00,94500.00,0.35,Outlet
"Sports Direct",1197831,2020-08-07,South,Texas,Houston,"Men's ","Athletic Footwear",40.00,900,360000.00,126000.00,0.35,Outlet
"Sports Direct",1197831,2020-08-08,South,Texas,Houston,"Women's ","Street Footwear",35.00,725,253750.00,88812.50,0.35,Outlet
"Sports Direct",1197831,2020-08-09,South,Texas,Houston,"Women's ","Athletic Footwear",40.00,625,250000.00,112500.00,0.45,Outlet
Walmart,1197831,2020-08-10,South,Texas,Houston,"Men's ",Apparel,45.00,525,236250.00,70875.00,0.30,Outlet
Walmart,1197831,2020-08-11,South,Texas,Houston,"Women's ",Apparel,40.00,800,320000.00,160000.00,0.50,Outlet
Walmart,1197831,2020-08-12,South,Texas,Houston,"Men's ","Street Footwear",30.00,925,277500.00,97125.00,0.35,Outlet
Walmart,1197831,2020-08-13,South,Texas,Houston,"Men's ","Athletic Footwear",40.00,925,370000.00,129500.00,0.35,Outlet
Walmart,1197831,2020-08-14,South,Texas,Houston,"Women's ","Street Footwear",35.00,775,271250.00,94937.50,0.35,Outlet
Walmart,1197831,2020-08-15,South,Texas,Houston,"Women's ","Athletic Footwear",40.00,700,280000.00,126000.00,0.45,Outlet
Walmart,1197831,2020-08-16,South,Texas,Houston,"Men's ",Apparel,45.00,600,270000.00,81000.00,0.30,Outlet
Walmart,1197831,2020-08-17,South,Texas,Houston,"Women's ",Apparel,40.00,950,380000.00,190000.00,0.50,Outlet
Walmart,1197831,2020-08-18,South,Texas,Houston,"Men's ","Street Footwear",40.00,950,380000.00,133000.00,0.35,Outlet
Walmart,1197831,2020-08-19,South,Texas,Houston,"Men's ","Athletic Footwear",45.00,950,427500.00,149625.00,0.35,Outlet
Walmart,1197831,2020-08-20,South,Texas,Houston,"Women's ","Street Footwear",40.00,800,320000.00,112000.00,0.35,Outlet
Walmart,1197831,2020-08-21,South,Texas,Houston,"Women's ","Athletic Footwear",40.00,750,300000.00,135000.00,0.45,Outlet
Walmart,1197831,2020-08-22,South,Texas,Houston,"Men's ",Apparel,45.00,650,292500.00,87750.00,0.30,Outlet
Walmart,1197831,2020-08-23,South,Texas,Houston,"Women's ",Apparel,50.00,1000,500000.00,250000.00,0.50,Outlet
Walmart,1197831,2020-08-24,South,Texas,Houston,"Men's ","Street Footwear",40.00,950,380000.00,133000.00,0.35,Outlet
Walmart,1197831,2020-08-25,South,Texas,Houston,"Men's ","Athletic Footwear",45.00,950,427500.00,149625.00,0.35,Outlet
Walmart,1197831,2020-08-26,South,Texas,Houston,"Women's ","Street Footwear",40.00,1100,440000.00,154000.00,0.35,Outlet
Walmart,1197831,2020-08-27,South,Texas,Houston,"Women's ","Athletic Footwear",40.00,700,280000.00,126000.00,0.45,Outlet
Walmart,1197831,2020-08-28,South,Texas,Houston,"Men's ",Apparel,45.00,700,315000.00,94500.00,0.30,Outlet
Walmart,1197831,2020-08-29,South,Texas,Houston,"Women's ",Apparel,50.00,975,487500.00,243750.00,0.50,Outlet
Walmart,1197831,2020-08-30,South,Texas,Houston,"Men's ","Street Footwear",40.00,925,370000.00,129500.00,0.35,Outlet
Walmart,1197831,2020-08-31,South,Texas,Houston,"Men's ","Athletic Footwear",45.00,925,416250.00,145687.50,0.35,Outlet
Walmart,1197831,2020-09-01,South,Texas,Houston,"Women's ","Street Footwear",40.00,1100,440000.00,154000.00,0.35,Outlet
Walmart,1197831,2020-09-02,South,Texas,Houston,"Women's ","Athletic Footwear",40.00,650,260000.00,117000.00,0.45,Outlet
Walmart,1197831,2020-09-03,South,Texas,Houston,"Men's ",Apparel,45.00,650,292500.00,87750.00,0.30,Outlet
Walmart,1197831,2020-09-04,South,Texas,Houston,"Women's ",Apparel,50.00,900,450000.00,225000.00,0.50,Outlet
Walmart,1197831,2020-09-05,South,Texas,Houston,"Men's ","Street Footwear",45.00,850,382500.00,133875.00,0.35,Outlet
Walmart,1197831,2020-09-06,South,Texas,Houston,"Men's ","Athletic Footwear",45.00,850,382500.00,133875.00,0.35,Outlet
Walmart,1197831,2020-09-07,South,Texas,Houston,"Women's ","Street Footwear",50.00,900,450000.00,157500.00,0.35,Outlet
Walmart,1197831,2020-09-08,South,Texas,Houston,"Women's ","Athletic Footwear",50.00,625,312500.00,140625.00,0.45,Outlet
Walmart,1197831,2020-09-09,South,Texas,Houston,"Men's ",Apparel,45.00,625,281250.00,84375.00,0.30,Outlet
Walmart,1197831,2020-09-10,South,Texas,Houston,"Women's ",Apparel,55.00,850,467500.00,233750.00,0.50,Outlet
Walmart,1197831,2020-09-11,South,Texas,Houston,"Men's ","Street Footwear",45.00,800,360000.00,126000.00,0.35,Outlet
Walmart,1197831,2020-09-12,South,Texas,Houston,"Men's ","Athletic Footwear",45.00,800,360000.00,126000.00,0.35,Outlet
Walmart,1197831,2020-09-13,South,Texas,Houston,"Women's ","Street Footwear",50.00,750,375000.00,131250.00,0.35,Outlet
Walmart,1197831,2020-09-14,South,Texas,Houston,"Women's ","Athletic Footwear",50.00,600,300000.00,135000.00,0.45,Outlet
Walmart,1197831,2020-09-15,South,Texas,Houston,"Men's ",Apparel,45.00,575,258750.00,77625.00,0.30,Outlet
Walmart,1197831,2020-09-16,South,Texas,Houston,"Women's ",Apparel,55.00,750,412500.00,206250.00,0.50,Outlet
Walmart,1197831,2020-10-20,South,Texas,Houston,"Men's ","Street Footwear",45.00,900,405000.00,141750.00,0.35,Outlet
Walmart,1197831,2020-10-21,South,Texas,Houston,"Men's ","Athletic Footwear",45.00,900,405000.00,141750.00,0.35,Outlet
Walmart,1197831,2020-10-22,South,Texas,Houston,"Women's ","Street Footwear",50.00,825,412500.00,144375.00,0.35,Outlet
Walmart,1197831,2020-10-23,South,Texas,Houston,"Women's ","Athletic Footwear",50.00,675,337500.00,151875.00,0.45,Outlet
Walmart,1197831,2020-10-24,South,Texas,Houston,"Men's ",Apparel,45.00,650,292500.00,87750.00,0.30,Outlet
Walmart,1197831,2020-10-25,South,Texas,Houston,"Women's ",Apparel,55.00,850,467500.00,233750.00,0.50,Outlet
Walmart,1197831,2020-10-26,South,Texas,Houston,"Men's ","Street Footwear",45.00,950,427500.00,149625.00,0.35,Outlet
Walmart,1197831,2020-10-27,South,Texas,Houston,"Men's ","Athletic Footwear",45.00,950,427500.00,149625.00,0.35,Outlet
Walmart,1197831,2020-10-28,South,Texas,Houston,"Women's ","Street Footwear",50.00,850,425000.00,148750.00,0.35,Outlet
Walmart,1197831,2020-10-29,South,Texas,Houston,"Women's ","Athletic Footwear",50.00,700,350000.00,157500.00,0.45,Outlet
Walmart,1197831,2020-10-30,South,Texas,Houston,"Men's ",Apparel,45.00,650,292500.00,87750.00,0.30,Outlet
Walmart,1197831,2020-10-31,South,Texas,Houston,"Women's ",Apparel,55.00,900,495000.00,247500.00,0.50,Outlet
"West Gear",1128299,2020-11-01,South,Texas,Houston,"Men's ","Street Footwear",40.00,775,310000.00,108500.00,0.35,Outlet
"West Gear",1128299,2020-11-02,South,Texas,Houston,"Men's ","Athletic Footwear",50.00,775,387500.00,77500.00,0.20,Outlet
"West Gear",1128299,2020-11-03,South,Texas,Houston,"Women's ","Street Footwear",50.00,775,387500.00,135625.00,0.35,Outlet
"West Gear",1128299,2020-11-04,South,Texas,Houston,"Women's ","Athletic Footwear",50.00,625,312500.00,93750.00,0.30,Outlet
"West Gear",1128299,2020-11-05,West,California,"San Francisco","Men's ",Apparel,55.00,575,316250.00,158125.00,0.50,Outlet
"West Gear",1128299,2020-11-06,West,California,"San Francisco","Women's ",Apparel,50.00,775,387500.00,58125.00,0.15,Outlet
"West Gear",1128299,2020-11-07,West,California,"San Francisco","Men's ","Street Footwear",40.00,825,330000.00,115500.00,0.35,Outlet
"West Gear",1128299,2020-11-08,West,California,"San Francisco","Men's ","Athletic Footwear",50.00,725,362500.00,72500.00,0.20,Outlet
"West Gear",1128299,2020-11-09,West,California,"San Francisco","Women's ","Street Footwear",50.00,725,362500.00,126875.00,0.35,Outlet
"West Gear",1128299,2020-11-10,West,California,"San Francisco","Women's ","Athletic Footwear",50.00,575,287500.00,86250.00,0.30,Outlet
"West Gear",1128299,2020-11-11,West,California,"San Francisco","Men's ",Apparel,55.00,500,275000.00,137500.00,0.50,Outlet
"West Gear",1128299,2020-11-12,West,California,"San Francisco","Women's ",Apparel,50.00,700,350000.00,52500.00,0.15,Outlet
"West Gear",1128299,2020-11-13,West,California,"San Francisco","Men's ","Street Footwear",50.00,850,425000.00,148750.00,0.35,Outlet
"West Gear",1128299,2020-11-14,West,California,"San Francisco","Men's ","Athletic Footwear",60.00,700,420000.00,84000.00,0.20,Outlet
"West Gear",1128299,2020-11-15,West,California,"San Francisco","Women's ","Street Footwear",60.00,700,420000.00,147000.00,0.35,Outlet
"West Gear",1128299,2020-12-22,West,California,"San Francisco","Women's ","Athletic Footwear",60.00,600,360000.00,108000.00,0.30,Outlet
"West Gear",1128299,2020-12-23,West,California,"San Francisco","Men's ",Apparel,65.00,500,325000.00,162500.00,0.50,Outlet
"West Gear",1128299,2020-12-24,West,California,"San Francisco","Women's ",Apparel,60.00,700,420000.00,63000.00,0.15,Outlet
"West Gear",1128299,2020-12-25,West,California,"San Francisco","Men's ","Street Footwear",60.00,875,525000.00,183750.00,0.35,Outlet
"West Gear",1128299,2020-12-26,West,California,"San Francisco","Men's ","Athletic Footwear",65.00,675,438750.00,87750.00,0.20,Outlet
"West Gear",1128299,2020-12-27,West,California,"San Francisco","Women's ","Street Footwear",65.00,725,471250.00,164937.50,0.35,Outlet
"West Gear",1128299,2020-12-28,West,California,"San Francisco","Women's ","Athletic Footwear",60.00,625,375000.00,112500.00,0.30,Outlet
"West Gear",1128299,2020-12-29,West,California,"San Francisco","Men's ",Apparel,65.00,525,341250.00,170625.00,0.50,Outlet
"West Gear",1128299,2020-12-30,West,California,"San Francisco","Women's ",Apparel,80.00,700,560000.00,84000.00,0.15,Outlet
"West Gear",1128299,2020-12-31,West,California,"San Francisco","Men's ","Street Footwear",60.00,900,540000.00,216000.00,0.40,Outlet
"West Gear",1128299,2021-01-01,West,California,"San Francisco","Men's ","Athletic Footwear",65.00,750,487500.00,121875.00,0.25,Outlet
"West Gear",1128299,2021-01-02,West,California,"San Francisco","Women's ","Street Footwear",65.00,750,487500.00,195000.00,0.40,Outlet
"West Gear",1128299,2021-01-03,West,California,"San Francisco","Women's ","Athletic Footwear",60.00,650,390000.00,136500.00,0.35,Outlet
"West Gear",1128299,2021-01-04,West,California,"San Francisco","Men's ",Apparel,65.00,550,357500.00,196625.00,0.55,Outlet
"West Gear",1128299,2021-01-05,West,California,"San Francisco","Women's ",Apparel,80.00,725,580000.00,116000.00,0.20,Outlet
"West Gear",1128299,2021-01-06,West,California,"San Francisco","Men's ","Street Footwear",60.00,975,585000.00,234000.00,0.40,Outlet
"West Gear",1128299,2021-01-07,West,California,"San Francisco","Men's ","Athletic Footwear",65.00,825,536250.00,134062.50,0.25,Outlet
"West Gear",1128299,2021-01-08,West,California,"San Francisco","Women's ","Street Footwear",65.00,825,536250.00,214500.00,0.40,Outlet
"West Gear",1128299,2021-01-09,West,California,"San Francisco","Women's ","Athletic Footwear",60.00,700,420000.00,147000.00,0.35,Outlet
"West Gear",1128299,2021-01-10,West,California,"San Francisco","Men's ",Apparel,65.00,575,373750.00,205562.50,0.55,Outlet
"West Gear",1128299,2021-01-11,West,California,"San Francisco","Women's ",Apparel,80.00,875,700000.00,140000.00,0.20,Outlet
"West Gear",1128299,2021-01-12,West,California,"San Francisco","Men's ","Street Footwear",60.00,1025,615000.00,215250.00,0.35,Outlet
"West Gear",1128299,2021-01-13,West,California,"San Francisco","Men's ","Athletic Footwear",65.00,875,568750.00,113750.00,0.20,Outlet
"West Gear",1128299,2021-01-14,West,California,"San Francisco","Women's ","Street Footwear",65.00,825,536250.00,187687.50,0.35,Outlet
"West Gear",1128299,2021-01-15,West,California,"San Francisco","Women's ","Athletic Footwear",60.00,725,435000.00,130500.00,0.30,Outlet
"West Gear",1128299,2021-01-16,West,California,"San Francisco","Men's ",Apparel,65.00,775,503750.00,251875.00,0.50,Outlet
"West Gear",1128299,2021-01-17,West,California,"San Francisco","Women's ",Apparel,80.00,775,620000.00,93000.00,0.15,Outlet
"West Gear",1128299,2021-01-18,West,California,"San Francisco","Men's ","Street Footwear",65.00,975,633750.00,221812.50,0.35,Outlet
"West Gear",1128299,2021-01-19,West,California,"San Francisco","Men's ","Athletic Footwear",70.00,925,647500.00,129500.00,0.20,Outlet
"West Gear",1128299,2021-01-20,West,California,"San Francisco","Women's ","Street Footwear",65.00,800,520000.00,182000.00,0.35,Outlet
"West Gear",1128299,2021-01-21,West,California,"San Francisco","Women's ","Athletic Footwear",65.00,750,487500.00,146250.00,0.30,Outlet
"West Gear",1128299,2021-01-22,West,California,"San Francisco","Men's ",Apparel,75.00,750,562500.00,281250.00,0.50,Outlet
"West Gear",1128299,2021-01-23,West,California,"San Francisco","Women's ",Apparel,80.00,725,580000.00,87000.00,0.15,Outlet
"West Gear",1128299,2021-01-24,West,California,"San Francisco","Men's ","Street Footwear",55.00,925,508750.00,152625.00,0.30,Outlet
"West Gear",1128299,2021-01-25,West,California,"San Francisco","Men's ","Athletic Footwear",60.00,925,555000.00,83250.00,0.15,Outlet
"West Gear",1128299,2021-01-26,West,California,"San Francisco","Women's ","Street Footwear",55.00,775,426250.00,127875.00,0.30,Outlet
"West Gear",1128299,2021-01-27,West,California,"San Francisco","Women's ","Athletic Footwear",55.00,725,398750.00,99687.50,0.25,Outlet
"West Gear",1128299,2021-01-28,West,California,"San Francisco","Men's ",Apparel,65.00,725,471250.00,212062.50,0.45,Outlet
"West Gear",1128299,2021-01-29,West,California,"San Francisco","Women's ",Apparel,70.00,775,542500.00,54250.00,0.10,Outlet
"West Gear",1128299,2021-01-30,West,California,"San Francisco","Men's ","Street Footwear",55.00,875,481250.00,144375.00,0.30,Outlet
"West Gear",1128299,2021-01-31,West,California,"San Francisco","Men's ","Athletic Footwear",60.00,875,525000.00,78750.00,0.15,Outlet
"West Gear",1128299,2021-02-01,West,California,"San Francisco","Women's ","Street Footwear",55.00,700,385000.00,115500.00,0.30,Outlet
"West Gear",1128299,2021-02-02,West,California,"San Francisco","Women's ","Athletic Footwear",55.00,675,371250.00,92812.50,0.25,Outlet
"West Gear",1128299,2021-02-03,West,California,"San Francisco","Men's ",Apparel,65.00,650,422500.00,190125.00,0.45,Outlet
"West Gear",1128299,2021-02-04,West,California,"San Francisco","Women's ",Apparel,70.00,700,490000.00,49000.00,0.10,Outlet
"West Gear",1128299,2021-02-05,West,California,"San Francisco","Men's ","Street Footwear",55.00,875,481250.00,144375.00,0.30,Outlet
"West Gear",1128299,2021-02-06,West,California,"San Francisco","Men's ","Athletic Footwear",60.00,875,525000.00,78750.00,0.15,Outlet
"West Gear",1128299,2021-02-07,West,California,"San Francisco","Women's ","Street Footwear",55.00,725,398750.00,119625.00,0.30,Outlet
"West Gear",1128299,2021-02-08,West,California,"San Francisco","Women's ","Athletic Footwear",55.00,700,385000.00,96250.00,0.25,Outlet
"West Gear",1128299,2021-02-09,West,California,"San Francisco","Men's ",Apparel,65.00,650,422500.00,190125.00,0.45,Outlet
"West Gear",1128299,2021-02-10,West,California,"San Francisco","Women's ",Apparel,70.00,775,542500.00,54250.00,0.10,Outlet
"West Gear",1128299,2021-02-11,West,California,"San Francisco","Men's ","Street Footwear",55.00,975,536250.00,160875.00,0.30,Outlet
"West Gear",1128299,2021-02-12,West,California,"San Francisco","Men's ","Athletic Footwear",60.00,975,585000.00,87750.00,0.15,Outlet
"West Gear",1128299,2021-02-13,West,California,"San Francisco","Women's ","Street Footwear",55.00,775,426250.00,127875.00,0.30,Outlet
"West Gear",1128299,2021-02-14,West,California,"San Francisco","Women's ","Athletic Footwear",55.00,775,426250.00,106562.50,0.25,Outlet
